,GLOBAL STATUS OF EVANGELICAL CHRISTIANITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Listing of Unengaged Unreached People Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,August 2022 - Data as of 09/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,*Now includes USA and Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,Evangelical Engagement,Population,Dispersed (Yes/No),ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,The HOPE,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,ROP PeopleName,GENC,FIPS,FIPS of Origin,Latitude,Longitude,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,ROR,Diaspora,
7830,Arab World,"Arab, Arabian",Oceania,Australia and New Zealand,Australia,Without Homeland,Arab,2,No,"152,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUS,AS,,-33.897339,151.244671,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
4,Arab World,"Arab, Arabian",Europe,Western Europe,Austria,Without Homeland,Arab,1,No,"100,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Moderate,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUT,AU,,48.200779,16.351657,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
42660,Arab World,"Arab, Arabian",Asia,Western Asia,Bahrain,United Arab Emirates,"Arab, Bahraini Sunni",1,No,"120,000",Yes,abv,Baharna Arabic - (abv),Islam - Sunni,,,,Yes,No,No,No,No,No,No,1,Low,Not Free,Moderate,High,Level 1: Exercise normal precautions,A001,C0013,118859,"Arab, Bahraini, Sunni",BHR,BA,AE,26.136371,50.60272,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,MSN,Yes,Islam
16194,Arab World,"Arab, Arabian",Americas,Caribbean,Barbados,Without Homeland,Arab,1,No,150,Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Low,Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,BRB,BB,,13.127212,-59.627675,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
14463,Arab World,"Arab, Arabian",Africa,Eastern Africa,Burundi,Without Homeland,Arab,1,No,"3,600",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Extreme,Not Free,Low,Moderate,Level 3: Reconsider travel,A001,C0013,100425,Arab,BDI,BY,,-3.38752,29.377888,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
14477,Arab World,"Arab, Arabian",Africa,Middle Africa,Congo (Kinshasa),Without Homeland,Arab,1,No,"28,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider travel,A001,C0013,100425,Arab,COD,CG,,-4.369865,15.311802,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
78,Arab World,"Arab, Arabian",Europe,Northern Europe,Denmark,Without Homeland,Arab,1,No,"64,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Moderate,Moderate,Level 2: Exercise increased caution,A001,C0013,100425,Arab,DNK,DA,,55.684471,12.543893,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
42682,Arab World,"Arab, Arabian",Africa,Eastern Africa,Djibouti,Oman,"Arab, Omani",1,No,"75,500",Yes,ayn,Sanaani Arabic - (ayn),Islam - Sunni,,,,Yes,No,No,Yes,No,Yes,No,3,Strenuous,Not Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100431,"Arab, Omani",DJI,DJ,MU,11.578284,43.146695,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,MSN,Yes,Islam
