Name,Level,Macro-area,Sub-families,Child languages,Top-level family
Atlantic-Congo,Top-level family,"Africa, North America",899,1406,
Austronesian,Top-level family,"Africa, Eurasia, Papunesia, South America",740,1271,
Indo-European,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",337,583,
Sino-Tibetan,Top-level family,Eurasia,303,501,
Bookkeeping,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",1,392,
Afro-Asiatic,Top-level family,"Africa, Eurasia",229,379,
Nuclear Trans New Guinea,Top-level family,Papunesia,178,317,
Pama-Nyungan,Top-level family,Australia,152,250,
Sign Language,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",48,215,
Otomanguean,Top-level family,North America,92,181,
Austroasiatic,Top-level family,Eurasia,94,158,
Unclassifiable,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",0,121,
Tai-Kadai,Top-level family,Eurasia,55,95,
Pidgin,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",48,84,
Dravidian,Top-level family,Eurasia,47,82,
Arawakan,Top-level family,"North America, South America",52,77,
Mande,Top-level family,Africa,56,75,
Tupian,Top-level family,South America,43,71,
Uto-Aztecan,Top-level family,North America,36,69,
Unattested,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia, South America",19,68,
Central Sudanic,Top-level family,Africa,37,63,
Nilotic,Top-level family,Africa,36,56,
Nuclear Torricelli,Top-level family,Papunesia,27,55,
Uralic,Top-level family,Eurasia,30,48,
Algic,Top-level family,North America,21,46,
Athabaskan-Eyak-Tlingit,Top-level family,North America,27,46,
Pano-Tacanan,Top-level family,South America,21,45,
Turkic,Top-level family,Eurasia,29,44,
Quechuan,Top-level family,South America,26,43,
Cariban,Top-level family,South America,23,42,
Hmong-Mien,Top-level family,Eurasia,19,39,
Kru,Top-level family,Africa,27,38,
Sepik,Top-level family,Papunesia,20,36,
Nakh-Daghestanian,Top-level family,Eurasia,20,34,
Mayan,Top-level family,North America,24,33,
Artificial Language,Top-level family,"Africa, Australia, Eurasia, North America, Papunesia",2,32,
Lower Sepik-Ramu,Top-level family,Papunesia,18,30,
Nuclear-Macro-Je,Top-level family,South America,15,30,
Chibchan,Top-level family,"North America, South America",18,27,
Tucanoan,Top-level family,South America,21,26,
Salishan,Top-level family,North America,11,25,
Timor-Alor-Pantar,Top-level family,Papunesia,13,23,
Dogon,Top-level family,Africa,9,20,
Lakes Plain,Top-level family,Papunesia,10,20,
Mixe-Zoque,Top-level family,North America,9,19,
Ta-Ne-Omotic,Top-level family,Africa,7,19,
Yam,Top-level family,Papunesia,9,19,
Siouan,Top-level family,North America,11,18,
Anim,Top-level family,Papunesia,9,17,
Mongolic-Khitan,Top-level family,Eurasia,9,17,
Border,Top-level family,Papunesia,6,15,
Japonic,Top-level family,"Eurasia, Papunesia",11,15,
North Halmahera,Top-level family,Papunesia,10,15,
Speech Register,Top-level family,"Africa, Eurasia, Papunesia, South America",7,15,
Khoe-Kwadi,Top-level family,Africa,11,14,
Angan,Top-level family,Papunesia,7,13,
Eskimo-Aleut,Top-level family,"Eurasia, North America",6,13,
Miwok-Costanoan,Top-level family,North America,6,13,
Ndu,Top-level family,Papunesia,6,13,
Nubian,Top-level family,Africa,7,13,
Tor-Orya,Top-level family,Papunesia,3,13,
Totonacan,Top-level family,North America,7,13,
Tungusic,Top-level family,Eurasia,8,13,
Chapacuran,Top-level family,South America,9,12,
Gunwinyguan,Top-level family,Australia,9,12,
Cochimi-Yuman,Top-level family,North America,6,11,
Iroquoian,Top-level family,North America,3,11,
Sko,Top-level family,Papunesia,7,11,
Surmic,Top-level family,Africa,8,11,
Western Daly,Top-level family,Australia,5,11,
Geelvink Bay,Top-level family,Papunesia,3,10,
Great Andamanese,Top-level family,Eurasia,7,10,
Heibanic,Top-level family,Africa,6,10,
Ijoid,Top-level family,Africa,7,10,
Maban,Top-level family,Africa,5,10,
Mixed Language,Top-level family,"Australia, Eurasia, North America, South America",7,10,
Nyulnyulan,Top-level family,Australia,7,10,
Saharan,Top-level family,Africa,7,10,
Songhay,Top-level family,Africa,4,10,
Worrorran,Top-level family,Australia,3,10,
